Attrition_Numeric,Customer_Age_zScore,Credit_Limit_SqR,Total_Revolving_Bal_divMedian,Total_Trans_Amt_log,Avg_Utilization_Ratio_divMedian,Gender,Dependent_count,Education_Level_sorted,Marital_Status_sorted,Income_Category_sorted,Card_Category_sorted,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon
0,1.0820343287753762,2430.5,0.8800940438871473,7.349873704738337,1.3125000000000002,F,3,Graduate,Married,0K - 40K,Blue,36,3,2,0
0,-1.1633575071931606,1288.0,1.2852664576802508,7.850882664809852,3.619318181818182,M,3,Graduate,Married,60K - 80K,Blue,29,5,1,5
0,-0.6643815436445969,2892.0,0.0,8.336390480591552,0.0,M,3,Graduate,Divorced,60K - 80K,Blue,27,5,2,2
0,0.0840824016782487,6933.5,0.0,8.365672383774996,0.0,M,2,Graduate,Married,60K - 80K,Blue,36,3,2,2
0,2.079986255872504,7017.5,1.615203761755486,7.381501894506707,0.8352272727272727,M,2,Graduate,Married,60K - 80K,Blue,49,5,2,3
0,-1.0386135163060195,1007.0,0.7021943573667712,7.807916628926408,2.5284090909090917,M,3,Graduate,Married,60K - 80K,Blue,31,6,1,2
0,0.9572903378882354,1473.5,1.7366771159874608,7.463936604468925,4.272727272727273,M,1,Graduate,Married,60K - 80K,Blue,36,3,3,2
0,0.4583143743396716,9071.0,0.0,9.64387450001194,0.0,M,4,Graduate,Married,60K - 80K,Blue,34,5,1,1
0,-0.4148935618703149,2182.5,0.0,7.450079569807499,0.0,M,3,Graduate,Married,60K - 80K,Blue,28,3,2,3
1,0.4583143743396716,1024.5,0.0,7.902117546276448,0.0,M,3,Post-Graduate,Married,60K - 80K,Blue,45,6,4,3
1,-1.0386135163060195,5626.0,0.8847962382445141,7.476472381163905,0.5681818181818182,M,2,Graduate,Married,60K - 80K,Blue,26,2,2,3
0,0.7078023561139535,9168.0,1.627742946708464,8.923857580099885,0.6420454545454546,M,3,Graduate,Married,60K - 80K,Blue,36,3,3,2
1,0.9572903378882354,2160.0,0.0,6.559615237493242,0.0,M,2,Graduate,Married,60K - 80K,Blue,42,3,3,2
0,-1.2881014980803016,1401.5,1.4482758620689655,7.584773077612199,3.744318181818182,M,4,Doctorate,Married,60K - 80K,Blue,17,5,2,4
0,-1.7870774616288654,2739.0,1.1684952978056429,7.806289289267033,1.5454545454545456,M,0,Post-Graduate,Married,60K - 80K,Blue,26,6,2,3
0,-1.5375894798545835,2587.5,0.7656739811912225,7.785305182539862,1.0738636363636365,M,0,Graduate,Married,60K - 80K,Blue,26,4,3,3
0,-0.539637552757456,1870.5,0.0,8.389814262086407,0.0,M,1,Graduate,Married,60K - 80K,Blue,32,5,3,2
0,0.7078023561139535,5909.5,0.7280564263322884,7.796057974316123,0.4488636363636364,M,2,Post-Graduate,Married,60K - 80K,Blue,45,4,1,4
0,1.2067783196625173,1391.5,1.1959247648902822,7.554334823725748,3.113636363636364,M,3,Graduate,Married,60K - 80K,Blue,37,3,3,0
0,1.705754283211081,1379.5,1.9600313479623823,7.408530566894626,5.147727272727273,M,0,Graduate,Married,60K - 80K,Blue,54,4,1,0
0,-1.6623334707417243,1429.5,1.9725705329153604,7.717351272185329,5.0,M,1,Graduate,Married,60K - 80K,Blue,22,3,1,3
0,-1.5375894798545835,9950.0,1.2390282131661443,8.280964400553373,0.4488636363636364,M,1,Graduate,Married,60K - 80K,Blue,27,5,2,4
0,-0.4148935618703149,6776.5,1.134796238244514,9.076923258535832,0.6079545454545455,M,2,Post-Graduate,Married,60K - 80K,Blue,34,1,1,3
0,-0.0406615892088921,4725.5,1.0031347962382444,8.064321960910803,0.7670454545454546,M,2,Graduate,Married,60K - 80K,Blue,34,4,2,0
1,-0.539637552757456,933.0,0.0,7.949091499830517,0.0,M,5,High School,Married,60K - 80K,Blue,36,1,2,3
0,-1.2881014980803016,2775.0,1.1896551724137931,7.8399193600125825,1.556818181818182,M,2,Graduate,Married,60K - 80K,Blue,36,3,1,4
1,1.2067783196625173,6124.0,0.0,6.642486801367256,0.0,M,3,Graduate,Married,60K - 80K,Blue,45,5,3,2
1,-1.7870774616288654,2234.5,1.8268025078369905,9.025696119812585,2.9659090909090917,M,0,Post-Graduate,Married,60K - 80K,Blue,25,6,2,2
0,-0.1654055800960331,719.15,0.0,8.4906438561827,0.0,M,0,Graduate,Married,60K - 80K,Blue,40,4,3,3
0,1.955242264985363,2725.0,0.7578369905956113,7.330405211844402,1.005681818181818,M,0,Graduate,Married,60K - 80K,Blue,51,3,2,0
0,0.0840824016782487,3649.0,0.0,8.414495793177895,0.0,M,3,Graduate,Married,60K - 80K,Blue,29,4,3,3
