CLIENTNUM,Attrition_Numeric,Customer_Age,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Avg_Utilization_Ratio,Gender_Encoded,Dependent_count,Education_Level_sorted,Marital_Status_sorted,Income_Category_sorted,Card_Category_sorted,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,naive_cls1,naive_cls2
714648933,0,55,4861.0,1123,1556,0.231,1,3,Graduate,Married,0K - 40K,Blue,36,3,2,0,4.3568e-05,0.99996
717628608,0,37,2576.0,1640,2568,0.637,0,3,Graduate,Married,60K - 80K,Blue,29,5,1,5,0.00031189,0.99969
711777633,0,41,5784.0,0,4173,0.0,0,3,Graduate,Divorced,60K - 80K,Blue,27,5,2,2,0.00011811,0.99988
716645883,0,47,13867.0,0,4297,0.0,0,2,Graduate,Married,60K - 80K,Blue,36,3,2,2,0.00012511,0.99987
708217758,0,63,14035.0,2061,1606,0.147,0,2,Graduate,Married,60K - 80K,Blue,49,5,2,3,0.00019143,0.99981
711119358,0,38,2014.0,896,2460,0.445,0,3,Graduate,Married,60K - 80K,Blue,31,6,1,2,6.282e-05,0.99994
712138983,0,54,2947.0,2216,1744,0.752,0,1,Graduate,Married,60K - 80K,Blue,36,3,3,2,0.00016883,0.99983
708974283,0,50,18142.0,0,15427,0.0,0,4,Graduate,Married,60K - 80K,Blue,34,5,1,1,3.4833e-05,0.99997
719621958,0,43,4365.0,0,1720,0.0,0,3,Graduate,Married,60K - 80K,Blue,28,3,2,3,0.00019864,0.9998
813810333,1,50,2049.0,0,2703,0.0,0,3,Post-Graduate,Married,60K - 80K,Blue,45,6,4,3,0.99777,0.00223444
771424908,1,38,11252.0,1129,1766,0.1,0,2,Graduate,Married,60K - 80K,Blue,26,2,2,3,0.99527,0.00472896
718893333,0,52,18336.0,2077,7509,0.113,0,3,Graduate,Married,60K - 80K,Blue,36,3,3,2,0.00018665,0.99981
789842283,1,54,4320.0,0,706,0.0,0,2,Graduate,Married,60K - 80K,Blue,42,3,3,2,0.99447,0.00553
778971408,0,36,2803.0,1848,1968,0.659,0,4,Doctorate,Married,60K - 80K,Blue,17,5,2,4,0.00049554,0.9995
802087683,0,32,5478.0,1491,2456,0.272,0,0,Post-Graduate,Married,60K - 80K,Blue,26,6,2,3,0.0001933,0.99981
713241033,0,34,5175.0,977,2405,0.189,0,0,Graduate,Married,60K - 80K,Blue,26,4,3,3,0.0002596,0.99974
721500108,0,42,3741.0,0,4402,0.0,0,1,Graduate,Married,60K - 80K,Blue,32,5,3,2,0.00016883,0.99983
757266933,0,52,11819.0,929,2431,0.079,0,2,Post-Graduate,Married,60K - 80K,Blue,45,4,1,4,0.00018595,0.99981
709122483,0,56,2783.0,1526,1909,0.548,0,3,Graduate,Married,60K - 80K,Blue,37,3,3,0,6.8853e-05,0.99993
786087633,0,60,2759.0,2501,1650,0.906,0,0,Graduate,Married,60K - 80K,Blue,54,4,1,0,1.9163e-05,0.99998
710164683,0,33,2859.0,2517,2247,0.88,0,1,Graduate,Married,60K - 80K,Blue,22,3,1,3,8.6952e-05,0.99991
755365233,0,34,19900.0,1581,3948,0.079,0,1,Graduate,Married,60K - 80K,Blue,27,5,2,4,0.00030653,0.99969
715519983,0,43,13553.0,1448,8751,0.107,0,2,Post-Graduate,Married,60K - 80K,Blue,34,1,1,3,0.000109,0.99989
712762758,0,46,9451.0,1280,3179,0.135,0,2,Graduate,Married,60K - 80K,Blue,34,4,2,0,4.1986e-05,0.99996
715306983,1,42,1866.0,0,2833,0.0,0,5,High School,Married,60K - 80K,Blue,36,1,2,3,0.99482,0.00518
717066408,0,36,5550.0,1518,2540,0.274,0,2,Graduate,Married,60K - 80K,Blue,36,3,1,4,0.00015804,0.99984
771963708,1,56,12248.0,0,767,0.0,0,3,Graduate,Married,60K - 80K,Blue,45,5,3,2,0.99515,0.00484967
710170758,1,32,4469.0,2331,8314,0.522,0,0,Post-Graduate,Married,60K - 80K,Blue,25,6,2,2,0.99137,0.00863
815767983,0,45,1438.3,0,4869,0.0,0,0,Graduate,Married,60K - 80K,Blue,40,4,3,3,0.0002596,0.99974
789291633,0,62,5450.0,967,1526,0.177,0,0,Graduate,Married,60K - 80K,Blue,51,3,2,0,3.6029e-05,0.99996
721483158,0,47,7298.0,0,4512,0.0,0,3,Graduate,Married,60K - 80K,Blue,29,4,3,3,0.0003139,0.99969
713451408,0,47,1943.0,1654,3392,0.851,0,4,High School,Divorced,60K - 80K,Blue,36,6,1,3,9.4447e-05,0.99991
802884933,0,61,3264.0,1348,1665,0.413,0,1,Graduate,Married,60K - 80K,Blue,55,6,2,3,0.00017969,0.99982
715442958,0,54,11067.0,2517,1843,0.227,0,2,Uneducated,Married,60K - 80K,Blue,36,3,3,3,0.00031104,0.99969
755262933,0,56,1438.3,0,1446,0.0,0,2,Post-Graduate,Married,60K - 80K,Blue,49,5,3,4,0.00060712,0.99939
803665983,0,52,2742.0,2184,3829,0.796,0,0,Graduate,Married,60K - 80K,Blue,46,3,2,4,0.00030803,0.99969
815838633,0,34,3890.0,2286,1889,0.588,0,1,Graduate,Married,60K - 80K,Blue,29,3,2,3,0.00019751,0.9998
